[2026-05-01 19:17:07] [INFO] [logger.py:61] QUERY | model=minilm | latency=6.869s | chunks=5 | avg_sim=0.4022 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what is the skill he is having
[2026-05-01 19:17:11] [INFO] [logger.py:61] QUERY | model=e5 | latency=4.829s | chunks=5 | avg_sim=0.6905 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what is the skill he is having
[2026-05-01 19:17:16] [INFO] [logger.py:61] QUERY | model=bge | latency=4.703s | chunks=5 | avg_sim=0.5120 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what is the skill he is having
[2026-05-01 19:19:24] [INFO] [logger.py:61] QUERY | model=minilm | latency=0.550s | chunks=5 | avg_sim=0.3842 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what are the topic are ther can you give me 5 topics
[2026-05-01 19:19:25] [INFO] [logger.py:61] QUERY | model=e5 | latency=0.839s | chunks=5 | avg_sim=0.6858 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what are the topic are ther can you give me 5 topics
[2026-05-01 19:19:26] [INFO] [logger.py:61] QUERY | model=bge | latency=0.952s | chunks=5 | avg_sim=0.4823 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what are the topic are ther can you give me 5 topics
[2026-05-01 20:42:06] [INFO] [logger.py:61] QUERY | model=minilm | latency=0.727s | chunks=5 | avg_sim=0.3978 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what is the main topics  can you give me 5
[2026-05-01 20:42:06] [INFO] [logger.py:61] QUERY | model=e5 | latency=0.559s | chunks=5 | avg_sim=0.6953 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what is the main topics  can you give me 5
[2026-05-01 20:42:07] [INFO] [logger.py:61] QUERY | model=bge | latency=0.596s | chunks=5 | avg_sim=0.4812 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what is the main topics  can you give me 5
[2026-05-01 20:52:50] [INFO] [logger.py:61] QUERY | model=minilm | latency=0.333s | chunks=5 | avg_sim=0.3832 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=give me the all the topics in that pdf
[2026-05-01 20:52:50] [INFO] [logger.py:61] QUERY | model=e5 | latency=0.592s | chunks=5 | avg_sim=0.6953 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=give me the all the topics in that pdf
[2026-05-01 20:52:51] [INFO] [logger.py:61] QUERY | model=bge | latency=0.788s | chunks=5 | avg_sim=0.4842 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=give me the all the topics in that pdf
[2026-05-01 20:54:25] [INFO] [logger.py:61] QUERY | model=minilm | latency=0.349s | chunks=5 | avg_sim=0.3799 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=give me the all the topics in that pdf all the topics
[2026-05-01 20:54:26] [INFO] [logger.py:61] QUERY | model=e5 | latency=0.766s | chunks=5 | avg_sim=0.6959 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=give me the all the topics in that pdf all the topics
